RepID,exp_round,treatment,daysinexp,timetopup,dead
1,1,0,12,12,0
2,1,0,12,12,0
3,1,0,12,12,0
4,1,0,13,13,0
5,1,0,13,13,0
6,1,0,12,12,0
7,1,0,12,12,0
8,2,0,12,12,0
9,2,0,9,0,1
10,2,0,12,12,0
11,2,0,12,12,0
12,2,0,12,12,0
13,2,0,12,12,0
14,2,0,12,12,0
15,2,0,12,12,0
16,2,0,12,12,0
17,2,0,12,12,0
18,3,0,9,9,0
19,3,0,12,0,1
20,3,0,9,9,0
21,3,0,12,12,0
22,3,0,9,9,0
23,3,0,9,9,0
24,3,0,9,9,0
25,3,0,9,9,0
26,3,0,9,9,0
27,3,0,9,9,0
28,4,0,12,12,0
29,4,0,13,0,1
30,4,0,12,12,0
31,4,0,13,0,1
32,4,0,12,12,0
33,4,0,12,12,0
34,4,0,12,12,0
35,4,0,13,0,1
36,4,0,6,0,1
37,1,5,3,0,1
38,1,5,12,12,0
39,1,5,3,0,1
40,1,5,12,12,0
41,1,5,12,0,1
42,1,5,12,0,1
43,1,5,12,12,0
44,1,5,13,13,0
45,2,5,12,12,0
46,2,5,12,12,0
47,2,5,12,12,0
48,2,5,12,12,0
49,2,5,9,0,1
50,2,5,9,0,1
51,2,5,12,12,0
52,2,5,12,12,0
53,2,5,12,12,0
54,3,5,9,9,0
55,3,5,12,12,0
56,3,5,9,9,0
57,3,5,12,12,0
58,3,5,12,12,0
59,3,5,9,9,0
60,3,5,9,9,0
61,3,5,6,0,1
62,3,5,12,12,0
63,3,5,12,12,0
64,4,5,12,12,0
65,4,5,12,12,0
66,4,5,13,0,1
67,4,5,12,12,0
68,4,5,12,12,0
69,4,5,13,0,1
70,4,5,12,12,0
71,4,5,12,12,0
72,4,5,12,12,0
73,1,15,12,12,0
74,1,15,12,12,0
75,1,15,12,12,0
76,1,15,12,0,1
77,1,15,12,12,0
78,1,15,3,0,1
79,1,15,12,12,0
80,1,15,12,12,0
81,1,15,13,0,1
82,2,15,12,12,0
83,2,15,12,12,0
84,2,15,12,12,0
85,2,15,9,0,1
86,2,15,12,12,0
87,2,15,12,12,0
88,2,15,9,9,0
89,2,15,9,0,1
90,2,15,12,12,0
91,3,15,12,12,0
92,3,15,9,9,1
93,3,15,9,9,0
94,3,15,9,0,1
95,3,15,9,0,1
96,3,15,9,9,0
97,3,15,9,9,0
98,4,15,13,0,1
99,4,15,12,12,0
100,4,15,12,12,0
101,4,15,13,0,1
102,4,15,12,12,0
103,4,15,13,0,1
104,4,15,13,0,1
105,4,15,12,12,0
106,1,50,12,12,0
107,1,50,3,0,1
108,1,50,12,12,0
109,1,50,12,12,0
110,1,50,12,12,0
111,1,50,12,12,0
112,1,50,12,12,0
113,1,50,12,12,0
114,1,50,12,12,0
115,2,50,12,12,0
116,2,50,1,12,0
117,2,50,12,12,0
118,2,50,12,12,0
119,2,50,12,12,0
120,2,50,1,0,1
121,2,50,12,12,0
122,2,50,9,0,1
123,2,50,12,12,0
124,2,50,12,12,0
125,3,50,9,9,0
126,3,50,9,9,0
127,3,50,9,9,0
128,3,50,9,9,0
129,3,50,9,9,0
130,3,50,12,0,1
131,3,50,12,12,0
132,4,50,12,12,0
133,4,50,12,0,1
134,4,50,12,12,0
135,4,50,12,0,1
136,4,50,9,0,1
137,4,50,12,12,0
138,4,50,12,12,0
139,4,50,13,0,1
140,4,50,12,12,0
141,1,100,12,12,0
142,1,100,12,12,0
143,1,100,12,12,0
144,1,100,3,0,1
145,1,100,12,12,0
146,1,100,12,12,0
147,1,100,12,12,0
148,2,100,12,12,0
149,2,100,12,12,0
150,2,100,12,12,0
151,2,100,12,12,0
152,2,100,9,0,1
153,2,100,12,12,0
154,2,100,9,0,1
155,2,100,9,0,1
156,2,100,12,12,0
157,2,100,12,12,0
158,3,100,12,0,1
159,3,100,9,9,0
160,3,100,9,9,0
161,3,100,9,9,0
162,3,100,9,9,0
163,3,100,12,12,0
164,3,100,9,9,0
165,3,100,9,9,0
166,3,100,9,9,0
167,3,100,9,9,0
168,4,100,13,0,1
169,4,100,12,12,0
170,4,100,12,12,0
171,4,100,9,0,1
172,4,100,13,0,1
173,4,100,12,12,0
174,4,100,12,12,0
175,4,100,12,12,0
176,1,500,3,0,1
177,1,500,3,0,1
178,1,500,3,0,1
179,1,500,3,0,1
180,1,500,3,0,1
181,1,500,3,0,1
182,1,500,3,0,1
183,1,500,3,0,1
184,2,500,1,0,1
185,2,500,9,0,1
186,2,500,1,0,1
187,2,500,9,0,1
188,2,500,1,0,1
189,2,500,12,12,0
190,2,500,1,0,1
191,2,500,9,0,1
192,2,500,9,0,1
193,2,500,12,12,0
194,3,500,12,12,0
195,3,500,3,0,1
196,3,500,12,0,1
197,3,500,3,0,1
198,3,500,3,0,1
199,3,500,3,0,1
200,3,500,3,0,1
201,3,500,12,0,1
202,3,500,3,0,1
203,3,500,3,0,1
204,4,500,12,12,0
205,4,500,12,12,0
206,4,500,3,0,1
207,4,500,6,0,1
208,4,500,3,0,1
209,4,500,3,0,1
210,4,500,6,0,1
211,4,500,3,0,1
212,4,500,3,0,1
213,4,500,3,0,1
