Rep,Treatment,Time,FIL,Weight (g)
0/1_1,0,1,0,0.031
0/1_1,0,2,0,0.18
0/1_1,0,3,0,0.323
0/1_1,0,4,0,0.389
0/2_1,0,1,0,0.029
0/2_1,0,2,0,0.142
0/2_1,0,3,0,0.291
0/2_1,0,4,0,0.35
0/3_1,0,1,1,0.026
0/3_1,0,2,1,0.101
0/3_1,0,3,1,0.247
0/3_1,0,4,1,0.315
0/4_1,0,1,0,0.023
0/4_1,0,2,0,0.135
0/4_1,0,3,0,0.301
0/4_1,0,4,0,0.35
0/5_1,0,1,1,0.023
0/5_1,0,2,1,0.115
0/5_1,0,3,1,0.287
0/5_1,0,4,1,0.361
0/6_1,0,1,0,0.024
0/6_1,0,2,0,0.12
0/6_1,0,3,0,0.26
0/6_1,0,4,0,0.364
0/7_1,0,1,0,0.029
0/7_1,0,2,0,0.152
0/7_1,0,3,0,0.311
0/7_1,0,4,0,0.393
0/8_1,0,1,0,0.025
0/8_1,0,2,0,0.159
0/8_1,0,3,0,0.331
0/8_1,0,4,0,0.373
0/9_1,0,1,1,0.029
0/10_1,0,1,0,0.022
0/10_1,0,2,0,0.054
0/10_1,0,3,0,0.221
0/10_1,0,4,0,0.336
0/1_2,0,1,0,0.04
0/1_2,0,2,0,0.151
0/1_2,0,3,0,0.2883
0/1_2,0,4,0,0.342
0/2_2,0,1,0,0.034
0/2_2,0,2,0,0.123
0/2_2,0,3,0,0.254
0/2_2,0,4,0,0.302
0/3_2,0,1,0,0.037
0/3_2,0,2,0,0.132
0/3_2,0,3,0,0.271
0/3_2,0,4,0,0.321
0/4_2,0,1,0,0.043
0/4_2,0,2,0,0.139
0/4_2,0,3,0,0.266
0/4_2,0,4,0,0.294
0/5_2,0,1,0,0.035
0/5_2,0,2,0,0.145
0/5_2,0,3,0,0.275
0/5_2,0,4,0,0.351
0/6_2,0,1,0,0.035
0/6_2,0,2,0,0.147
0/6_2,0,3,0,0.28
0/6_2,0,4,0,0.33
0/7_2,0,1,0,0.043
0/7_2,0,2,0,0.142
0/7_2,0,3,0,0.29
0/7_2,0,4,0,0.324
0/8_2,0,1,0,0.039
0/8_2,0,2,0,0.16
0/8_2,0,3,0,0.308
0/8_2,0,4,0,0.341
0/9_2,0,1,0,0.033
0/9_2,0,2,0,0.123
0/9_2,0,3,0,0.299
0/9_2,0,4,0,0.335
0/10_2,0,1,0,0.039
0/10_2,0,2,0,0.169
0/10_2,0,3,0,0.294
0/10_2,0,4,0,0.365
0/1_3,0,1,0,0.0364
0/1_3,0,2,0,0.107
0/1_3,0,3,0,0.3102
0/2_3,0,1,0,0.0262
0/2_3,0,2,0,0.0773
0/2_3,0,3,0,0.2582
0/2_3,0,4,0,0.341
