exp_round,sample,treatment,sex,S,GR,W,F,PR,N,M,
1,SAMPLE4,0,F,3,41,414,142,,,,600
1,SAMPLE6,0,F,,8,408,184,,,,600
1,SAMPLE17,0,M,116,306,98,80,,,,600
1,SAMPLE22,0,F,5,60,425,110,,,,600
1,SAMPLE24,0,M,13,136,340,91,,20,,600
1,SAMPLE29,0,M,278,322,,,,,,600
2,SAMPLE2,0,F,18,46,473,63,,,,600
2,SAMPLE3,0,M,222,249,105,15,,9,,600
2,SAMPLE5,0,M,214,,23,363,,,,600
2,SAMPLE11,0,F,27,26,487,60,,,,600
2,SAMPLE17,0,F,406,65,88,34,7,,,600
2,SAMPLE18,0,F,401,199,,,,,,600
2,SAMPLE21,0,F,,103,376,121,,,,600
2,SAMPLE25,0,F,152,,229,219,,,,600
2,SAMPLE26,0,F,5,196,158,194,47,,,600
3,SAMPLE7,0,M,175,116,173,95,41,,,600
3,SAMPLE9,0,F,,372,38,26,15,149,,600
3,SAMPLE10,0,F,,206,388,,6,,,600
3,SAMPLE15,0,M,95,270,11,25,,189,,590
3,SAMPLE20,0,M,304,143,134,19,,,,600
3,SAMPLE23,0,F,361,48,145,46,,,,600
3,SAMPLE27,0,F,600,,,,,,,600
3,SAMPLE30,0,F,13,,,,,587,,600
4,SAMPLE3,0,M,489,111,,,,,,600
4,SAMPLE8,0,M,,,,,,600,,600
4,SAMPLE16,0,F,12,18,271,269,,30,,600
4,SAMPLE21,0,F,,29,548,14,9,,,600
4,SAMPLE23,0,M,357,191,15,32,5,,,600
1,SAMPLE2,5,F,31,60,102,2,405,,,600
1,SAMPLE3,5,F,99,445,51,5,,,,600
1,SAMPLE9,5,F,445,14,64,35,,,42,600
1,SAMPLE25,5,F,3,38,446,113,,,,600
2,SAMPLE1,5,M,5,,439,156,,,,600
2,SAMPLE12,5,M,183,258,24,110,,,25,600
3,SAMPLE2,5,F,361,218,,14,7,,,600
3,SAMPLE3,5,M,317,226,57,,,,,600
3,SAMPLE4,5,F,600,,,,,,,600
3,SAMPLE11,5,F,289,222,24,6,,59,,600
3,SAMPLE16,5,M,19,49,466,66,,,,600
3,SAMPLE19,5,M,25,66,453,56,,,,600
3,SAMPLE28,5,F,440,160,,,,,,600
3,SAMPLE31,5,M,,,,,,600,,600
3,SAMPLE32,5,F,18,162,,150,,270,,600
3,SAMPLE33,5,M,,,,,,600,,600
4,SAMPLE2,5,F,43,23,183,113,,238,,600
4,SAMPLE5,5,F,600,,,,,,,600
4,SAMPLE11,5,M,335,222,5,26,12,,,600
4,SAMPLE13,5,F,98,,310,138,,54,,600
4,SAMPLE17,5,F,291,,112,197,,,,600
4,SAMPLE22,5,F,56,,238,92,202,12,,600
4,SAMPLE28,5,M,76,159,280,85,,,,600
1,SAMPLE12,15,F,567,9,24,,,,,600
1,SAMPLE18,15,F,470,130,,,,,,600
1,SAMPLE23,15,F,52,10,500,38,,,,600
1,SAMPLE26,15,F,194,75,,,171,160,,600
2,SAMPLE4,15,M,508,92,,,,,,600
2,SAMPLE8,15,F,247,157,115,66,,,15,600
2,SAMPLE14,15,F,89,167,90,254,,,,600
2,SAMPLE16,15,F,145,28,93,324,,,10,600
2,SAMPLE20,15,M,414,68,63,55,,,,600
3,SAMPLE13,15,F,90,10,9,127,,364,,600
3,SAMPLE21,15,M,249,310,,41,,,,600
3,SAMPLE29,15,M,147,231,168,42,,,12,600
4,SAMPLE9,15,F,416,95,63,16,10,,,600
4,SAMPLE10,15,F,35,,336,229,,,,600
4,SAMPLE14,15,F,43,16,368,173,,,,600
1,SAMPLE5,50,F,163,154,277,2,,,4,600
1,SAMPLE8,50,M,138,98,207,157,,,,600
1,SAMPLE10,50,M,247,20,130,203,,,,600
1,SAMPLE11,50,F,27,182,375,16,,,,600
1,SAMPLE14,50,F,412,68,65,22,,,33,600
1,SAMPLE16,50,F,412,68,65,22,,,33,600
1,SAMPLE20,50,F,285,270,45,0,,,,600
1,SAMPLE21,50,F,41,101,414,44,,,,600
1,SAMPLE28,50,F,79,131,302,68,,,20,600
2,SAMPLE6,50,M,38,302,40,195,,,25,600
2,SAMPLE7,50,M,229,52,222,41,56,,,600
2,SAMPLE9,50,F,77,134,114,275,,,,600
2,SAMPLE10,50,M,21,123,215,208,33,,,600
2,SAMPLE15,50,F,25,27,424,99,25,,,600
2,SAMPLE23,50,F,51,36,68,421,24,,,600
2,SAMPLE24,50,F,23,9,403,161,4,,,600
2,SAMPLE27,50,F,,203,291,101,5,,,600
3,SAMPLE12,50,M,,65,15,12,,508,,600
3,SAMPLE18,50,F,531,69,,,,,,600
3,SAMPLE22,50,M,18,120,64,11,,387,,600
3,SAMPLE25,50,M,324,263,7,6,,,,600
4,SAMPLE15,50,F,87,143,266,104,,,,600
4,SAMPLE19,50,F,360,150,80,10,,,,600
4,SAMPLE20,50,M,296,250,34,20,,,,600
4,SAMPLE26,50,M,119,95,278,53,55,,,600
4,SAMPLE27,50,F,,,,,,600,,600
1,SAMPLE1,100,F,375,63,158,4,,,,600
1,SAMPLE7,100,F,,600,,,,,,600
1,SAMPLE13,100,F,253,87,70,190,,,,600
1,SAMPLE15,100,F,285,87,70,158,,,,600
1,SAMPLE19,100,M,512,88,,,,,,600
1,SAMPLE27,100,M,490,58,39,13,,,,600
2,SAMPLE13,100,M,7,48,392,153,,,,600
2,SAMPLE19,100,M,33,26,219,315,,7,,600
2,SAMPLE22,100,F,105,65,97,333,,,,600
2,SAMPLE28,100,M,57,56,242,199,,46,,600
3,SAMPLE1,100,F,128,423,,21,,,28,600
3,SAMPLE5,100,M,200,390,,,,,10,600
3,SAMPLE6,100,F,,164,147,22,267,,,600
3,SAMPLE14,100,M,37,49,316,192,,1,,595
3,SAMPLE17,100,M,548,52,,,,,,600
3,SAMPLE24,100,M,509,91,,,,,,600
3,SAMPLE34,100,M,,187,5,11,,397,,600
4,SAMPLE1,100,F,107,174,62,142,,,115,600
4,SAMPLE4,100,F,58,352,87,99,,4,,600
4,SAMPLE7,100,F,112,,341,127,20,,,600
4,SAMPLE12,100,F,42,,482,76,,,,600
4,SAMPLE24,100,M,40,77,375,108,,,,600
4,SAMPLE6,500,F,22,,45,280,,253,,600
4,SAMPLE18,500,M,537,,36,27,,,,600
4,SAMPLE25,500,M,,,,,,600,,600
